 cookie=0x0, duration=8.341s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=100.50.58.89,nw_dst=10.0.0.1,tp_src=28374,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.341s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=150.11.172.80,nw_dst=10.0.0.1,tp_src=28349,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.341s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=197.123.115.33,nw_dst=10.0.0.1,tp_src=28375,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.341s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=170.212.117.244,nw_dst=10.0.0.1,tp_src=28350,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.341s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=70.0.231.4,nw_dst=10.0.0.1,tp_src=28376,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.341s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=95.240.49.192,nw_dst=10.0.0.1,tp_src=28368,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.341s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=144.87.147.100,nw_dst=10.0.0.1,tp_src=28377,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.341s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=88.174.237.100,nw_dst=10.0.0.1,tp_src=28378,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.319s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=240.9.32.82,nw_dst=10.0.0.1,tp_src=28379,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.319s, table=0, n_packets=1, n_bytes=54, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=17.74.2.37,nw_dst=10.0.0.1,tp_src=28380,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.319s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=215.9.161.250,nw_dst=10.0.0.1,tp_src=28381,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.319s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=233.152.180.88,nw_dst=10.0.0.1,tp_src=28382,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.319s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=60.196.81.215,nw_dst=10.0.0.1,tp_src=28383,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.319s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=10.177.211.215,nw_dst=10.0.0.1,tp_src=28384,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.319s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=237.198.164.80,nw_dst=10.0.0.1,tp_src=28385,tp_dst=0 actions=output:1
